,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted_encoded,department_encoded,region_encoded,education_encoded,gender_encoded,recruitment_channel_encoded,is_promoted
30497,71410,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,31,3.0,2,0,51.0,0,7,4,0,1,2,No
30500,20099,Operations,region_19,Bachelor's,F,other,1,36,4.0,3,0,59.0,0,4,10,0,0,0,No
30501,55104,Sales & Marketing,region_2,Master's & above,F,sourcing,1,40,4.0,10,0,49.0,0,7,11,2,0,2,No
30502,53431,Technology,region_7,Bachelor's,F,other,1,45,3.0,5,0,82.0,0,8,31,0,0,0,No
30503,41621,Sales & Marketing,region_28,Bachelor's,F,sourcing,1,27,5.0,2,0,50.0,0,7,20,0,0,2,No
30504,58065,HR,region_32,Bachelor's,M,other,1,31,3.0,3,0,46.0,0,2,25,0,1,0,No
30505,49871,Operations,region_15,Bachelor's,M,other,1,45,3.0,7,0,60.0,0,4,6,0,1,0,No
30506,68615,Technology,region_2,Bachelor's,F,other,1,34,4.0,5,0,81.0,0,8,11,0,0,0,No
30508,45879,Procurement,region_7,Master's & above,M,sourcing,1,40,3.0,6,0,68.0,1,5,31,2,1,2,Yes
30509,972,Technology,region_27,Bachelor's,F,sourcing,1,27,3.0,6,0,79.0,0,8,19,0,0,2,No
30510,17974,Sales & Marketing,region_10,Bachelor's,M,other,1,39,3.0,4,0,55.0,0,7,1,0,1,0,No
30512,74318,Technology,region_30,Bachelor's,M,sourcing,1,32,3.0,4,0,77.0,0,8,23,0,1,2,No
30513,64408,Operations,region_4,Master's & above,M,sourcing,1,38,3.0,9,0,71.0,1,4,28,2,1,2,Yes
30514,78233,Operations,region_4,Bachelor's,F,other,1,46,5.0,2,0,60.0,0,4,28,0,0,0,No
30518,52532,Finance,region_13,Master's & above,F,other,1,32,3.0,5,0,60.0,0,1,4,2,0,0,No
30519,73515,HR,region_7,Bachelor's,M,sourcing,1,28,3.0,4,0,51.0,0,2,31,0,1,2,No
30520,61223,HR,region_2,Bachelor's,F,sourcing,1,33,4.0,3,0,50.0,0,2,11,0,0,2,No
30524,15374,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,30,5.0,4,0,50.0,1,7,7,0,1,2,Yes
30525,4426,Operations,region_23,Master's & above,M,other,1,39,3.0,7,0,60.0,0,4,15,2,1,0,No
30527,16467,Procurement,region_17,Master's & above,M,other,1,39,2.0,9,0,73.0,0,5,8,2,1,0,No
30528,1278,Procurement,region_16,Bachelor's,F,sourcing,1,27,4.0,3,0,70.0,0,5,7,0,0,2,No
30529,76524,Procurement,region_13,Master's & above,M,other,1,43,3.0,6,0,72.0,0,5,4,2,1,0,No
30531,3166,Operations,region_1,Bachelor's,M,other,1,32,5.0,6,0,60.0,0,4,0,0,1,0,No
30532,32698,Operations,region_22,Master's & above,F,referred,1,33,3.0,4,0,65.0,0,4,14,2,0,1,No
30533,1313,Analytics,region_7,Bachelor's,M,other,1,32,4.0,3,0,90.0,0,0,31,0,1,0,No
30534,55540,Operations,region_7,Bachelor's,F,other,1,43,5.0,11,0,52.0,0,4,31,0,0,0,No
30538,15983,Sales & Marketing,region_25,Bachelor's,M,sourcing,1,39,5.0,7,0,49.0,0,7,17,0,1,2,No
30539,34608,Finance,region_4,Bachelor's,M,other,1,29,2.0,4,0,60.0,0,1,28,0,1,0,No
30540,76712,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,40,3.0,9,0,49.0,0,7,7,0,1,2,No
30541,21336,Technology,region_16,Bachelor's,M,other,1,34,2.0,5,0,83.0,0,8,7,0,1,0,No
30542,62394,Operations,region_13,Bachelor's,F,sourcing,1,29,5.0,4,0,58.0,0,4,4,0,0,2,No
30543,12882,Operations,region_13,Master's & above,F,sourcing,1,31,4.0,2,0,60.0,0,4,4,2,0,2,No
30544,6476,Analytics,region_28,Master's & above,M,sourcing,1,40,5.0,7,0,84.0,0,0,20,2,1,2,No
30545,20747,Operations,region_26,Bachelor's,F,other,1,40,3.0,5,0,59.0,0,4,18,0,0,0,No
30547,43455,Technology,region_34,Bachelor's,M,other,1,32,3.0,5,0,79.0,0,8,27,0,1,0,No
30548,1979,Sales & Marketing,region_20,Bachelor's,M,other,1,30,2.0,5,0,49.0,0,7,12,0,1,0,No
30550,71929,Operations,region_4,Master's & above,M,sourcing,1,33,3.0,6,0,64.0,0,4,28,2,1,2,No
30553,45298,Sales & Marketing,region_13,Bachelor's,F,other,1,34,5.0,9,0,52.0,0,7,4,0,0,0,No
30555,31651,Technology,region_14,Bachelor's,F,other,1,41,4.0,7,0,74.0,0,8,5,0,0,0,No
30558,32659,Operations,region_22,Bachelor's,M,other,1,29,2.0,5,0,62.0,0,4,14,0,1,0,No
30559,74799,Technology,region_31,Bachelor's,M,other,1,27,5.0,1,0,77.0,0,8,24,0,1,0,No
30560,61624,Operations,region_14,Master's & above,F,other,1,37,5.0,3,0,60.0,0,4,5,2,0,0,No
30562,68222,Finance,region_2,Bachelor's,F,sourcing,1,28,2.0,2,0,64.0,0,1,11,0,0,2,No
30563,2204,Analytics,region_22,Bachelor's,M,sourcing,1,37,2.0,7,0,83.0,0,0,14,0,1,2,No
30564,4964,Operations,region_21,Bachelor's,F,other,1,43,5.0,2,0,59.0,0,4,13,0,0,0,No
30566,16598,Finance,region_2,Below Secondary,M,sourcing,1,25,3.0,2,0,58.0,1,1,11,1,1,2,Yes
30567,76141,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,42,3.0,2,0,54.0,0,7,7,0,1,2,No
30570,76279,Sales & Marketing,region_1,Master's & above,F,sourcing,1,36,2.0,4,0,51.0,0,7,0,2,0,2,No
30571,41669,Finance,region_2,Bachelor's,F,sourcing,1,46,5.0,6,0,59.0,0,1,11,0,0,2,No
30572,58759,HR,region_2,Bachelor's,M,other,1,39,3.0,10,0,52.0,0,2,11,0,1,0,No
30573,8953,Procurement,region_13,Master's & above,M,sourcing,1,30,2.0,2,0,70.0,0,5,4,2,1,2,No
30574,2055,Sales & Marketing,region_17,Bachelor's,M,other,1,29,3.0,4,0,53.0,0,7,8,0,1,0,No
30576,19918,HR,region_5,Bachelor's,M,other,1,26,5.0,3,0,50.0,0,2,29,0,1,0,No
30577,16833,Sales & Marketing,region_32,Bachelor's,M,other,1,26,3.0,2,0,53.0,0,7,25,0,1,0,No
30579,39083,Operations,region_15,Bachelor's,F,sourcing,1,33,5.0,6,0,59.0,0,4,6,0,0,2,No
30581,19293,Technology,region_22,Bachelor's,M,sourcing,1,34,5.0,2,0,76.0,0,8,14,0,1,2,No
30584,25779,Procurement,region_2,Bachelor's,F,sourcing,1,56,3.0,2,0,67.0,0,5,11,0,0,2,No
30586,19709,Sales & Marketing,region_27,Master's & above,M,other,1,35,3.0,10,0,48.0,0,7,19,2,1,0,No
30587,3816,Legal,region_13,Bachelor's,M,sourcing,1,34,3.0,3,0,62.0,0,3,4,0,1,2,No
30591,13894,Technology,region_2,Bachelor's,F,other,1,46,5.0,13,0,81.0,0,8,11,0,0,0,No
30593,69703,Technology,region_27,Bachelor's,M,other,1,41,2.0,6,0,77.0,0,8,19,0,1,0,No
30595,70200,Sales & Marketing,region_23,Master's & above,M,sourcing,1,38,5.0,5,0,57.0,0,7,15,2,1,2,No
30596,73428,Technology,region_2,Master's & above,M,other,1,52,2.0,4,0,77.0,0,8,11,2,1,0,No
30597,65543,Sales & Marketing,region_2,Master's & above,M,other,1,41,3.0,7,0,50.0,0,7,11,2,1,0,No
30602,65334,Operations,region_2,Master's & above,F,other,1,38,4.0,4,0,58.0,0,4,11,2,0,0,No
30603,63476,Legal,region_11,Bachelor's,M,sourcing,1,32,3.0,6,0,60.0,0,3,2,0,1,2,No
30604,3933,Sales & Marketing,region_7,Bachelor's,M,other,1,37,3.0,6,0,49.0,0,7,31,0,1,0,No
30606,26976,Sales & Marketing,region_15,Bachelor's,M,other,1,27,3.0,3,0,50.0,0,7,6,0,1,0,No
30609,39630,Sales & Marketing,region_12,Bachelor's,M,other,1,33,3.0,7,0,48.0,0,7,3,0,1,0,No
30612,74924,Analytics,region_22,Bachelor's,M,referred,1,29,4.0,4,0,82.0,0,0,14,0,1,1,No
30613,8697,Sales & Marketing,region_22,Master's & above,M,sourcing,1,56,5.0,11,0,49.0,0,7,14,2,1,2,No
30614,64031,Analytics,region_13,Master's & above,M,sourcing,1,35,3.0,9,0,84.0,0,0,4,2,1,2,No
30616,10578,Technology,region_26,Bachelor's,M,other,1,50,5.0,12,0,80.0,0,8,18,0,1,0,No
30617,47445,Sales & Marketing,region_22,Bachelor's,M,sourcing,1,25,3.0,3,0,48.0,0,7,14,0,1,2,No
30619,45111,Operations,region_22,Bachelor's,M,sourcing,1,39,5.0,5,0,56.0,0,4,14,0,1,2,No
30620,22518,Sales & Marketing,region_30,Bachelor's,F,other,1,31,3.0,3,0,53.0,0,7,23,0,0,0,No
30621,49598,Sales & Marketing,region_19,Bachelor's,M,sourcing,1,29,5.0,5,0,48.0,0,7,10,0,1,2,No
30622,33937,Sales & Marketing,region_28,Master's & above,M,other,1,35,4.0,4,0,42.0,0,7,20,2,1,0,No
30625,2660,Sales & Marketing,region_4,Master's & above,M,sourcing,1,36,4.0,6,0,53.0,0,7,28,2,1,2,No
30626,14852,Procurement,region_27,Bachelor's,F,other,1,32,5.0,7,0,69.0,0,5,19,0,0,0,No
30629,56151,Analytics,region_11,Bachelor's,M,other,1,35,2.0,7,0,86.0,0,0,2,0,1,0,No
30631,52782,Operations,region_24,Bachelor's,F,sourcing,1,32,5.0,3,0,60.0,0,4,16,0,0,2,No
30632,38494,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,54,5.0,11,0,46.0,0,7,4,0,1,2,No
30634,455,Operations,region_15,Bachelor's,F,sourcing,1,33,3.0,10,0,69.0,1,4,6,0,0,2,Yes
30636,56201,Technology,region_28,Master's & above,M,other,1,33,4.0,6,0,80.0,0,8,20,2,1,0,No
30637,31198,Sales & Marketing,region_2,Bachelor's,M,referred,1,29,4.0,2,0,53.0,0,7,11,0,1,1,No
30638,58601,Sales & Marketing,region_7,Bachelor's,M,other,1,25,2.0,4,0,43.0,0,7,31,0,1,0,No
30639,11933,Sales & Marketing,region_27,Master's & above,M,other,1,37,2.0,7,0,52.0,0,7,19,2,1,0,No
30640,46336,Finance,region_13,Bachelor's,M,other,1,24,5.0,2,0,64.0,0,1,4,0,1,0,No
30643,58796,HR,region_2,Bachelor's,M,sourcing,1,54,3.0,13,0,48.0,0,2,11,0,1,2,No
30647,4880,Procurement,region_2,Master's & above,F,sourcing,1,43,5.0,7,0,71.0,0,5,11,2,0,2,No
30648,48770,R&D,region_22,Bachelor's,M,sourcing,1,26,3.0,2,0,86.0,0,6,14,0,1,2,No
30649,62480,Analytics,region_22,Master's & above,M,sourcing,1,34,5.0,6,0,82.0,0,0,14,2,1,2,No
30650,9252,Technology,region_2,Master's & above,F,other,1,34,5.0,7,0,79.0,0,8,11,2,0,0,No
30653,44069,Sales & Marketing,region_26,Bachelor's,M,sourcing,1,32,5.0,6,0,48.0,0,7,18,0,1,2,No
30654,48597,Technology,region_11,Bachelor's,M,sourcing,1,31,5.0,5,0,76.0,0,8,2,0,1,2,No
30656,73605,Sales & Marketing,region_31,Bachelor's,F,sourcing,1,31,5.0,5,0,48.0,0,7,24,0,0,2,No
30658,16609,Technology,region_4,Master's & above,M,other,1,31,3.0,3,0,77.0,0,8,28,2,1,0,No
30660,56628,Finance,region_2,Bachelor's,M,sourcing,1,35,2.0,4,0,59.0,0,1,11,0,1,2,No
30662,54567,HR,region_7,Master's & above,M,other,1,42,2.0,13,0,52.0,0,2,31,2,1,0,No
30664,11888,Sales & Marketing,region_10,Bachelor's,M,other,1,40,3.0,10,0,46.0,0,7,1,0,1,0,No
30668,2302,Operations,region_22,Bachelor's,F,other,1,31,3.0,4,0,59.0,1,4,14,0,0,0,Yes
30671,69378,Operations,region_2,Master's & above,F,other,1,34,4.0,2,0,56.0,0,4,11,2,0,0,No
30673,49894,Operations,region_22,Bachelor's,M,referred,1,36,3.0,10,0,55.0,0,4,14,0,1,1,No
30674,3772,Analytics,region_1,Master's & above,M,other,1,30,5.0,5,0,84.0,1,0,0,2,1,0,Yes
30675,9311,Operations,region_30,Bachelor's,F,other,1,39,4.0,12,0,56.0,0,4,23,0,0,0,No
30676,50140,Operations,region_27,Bachelor's,M,sourcing,1,30,4.0,7,0,62.0,0,4,19,0,1,2,No
30678,42349,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,30,4.0,3,0,52.0,0,7,4,0,1,2,No
30683,34384,Analytics,region_1,Master's & above,M,sourcing,1,37,5.0,7,0,88.0,0,0,0,2,1,2,No
30684,49970,Operations,region_22,Bachelor's,M,referred,1,41,5.0,11,0,58.0,0,4,14,0,1,1,No
30685,77493,Technology,region_13,Master's & above,M,other,1,48,4.0,6,0,77.0,0,8,4,2,1,0,No
30686,32389,Sales & Marketing,region_3,Bachelor's,M,other,1,39,4.0,3,0,50.0,0,7,22,0,1,0,No
30687,11309,Operations,region_20,Master's & above,M,sourcing,1,31,5.0,7,0,66.0,0,4,12,2,1,2,No
30689,35166,Procurement,region_13,Master's & above,M,other,1,37,3.0,8,0,69.0,0,5,4,2,1,0,No
30690,62630,Procurement,region_7,Bachelor's,M,sourcing,1,33,5.0,5,0,74.0,0,5,31,0,1,2,No
30692,66350,Procurement,region_2,Master's & above,F,other,1,43,3.0,7,0,66.0,0,5,11,2,0,0,No
30694,12048,Sales & Marketing,region_29,Bachelor's,M,other,1,30,3.0,7,0,48.0,0,7,21,0,1,0,No
30699,2067,Procurement,region_30,Bachelor's,M,sourcing,1,34,4.0,7,0,74.0,0,5,23,0,1,2,No
30702,32508,HR,region_2,Master's & above,F,referred,1,57,5.0,8,0,53.0,0,2,11,2,0,1,No
30705,25739,Sales & Marketing,region_2,Master's & above,F,other,1,41,3.0,3,0,50.0,0,7,11,2,0,0,No
30706,35576,Operations,region_2,Master's & above,F,other,1,48,4.0,10,0,57.0,0,4,11,2,0,0,No
30707,55635,Sales & Marketing,region_11,Bachelor's,M,other,1,31,5.0,8,0,51.0,0,7,2,0,1,0,No
30709,29039,Analytics,region_20,Bachelor's,M,sourcing,1,30,5.0,5,0,82.0,0,0,12,0,1,2,No
30710,53760,Finance,region_29,Bachelor's,F,sourcing,1,27,4.0,1,0,57.0,0,1,21,0,0,2,No
30711,35257,Analytics,region_27,Bachelor's,M,other,1,30,4.0,4,0,82.0,0,0,19,0,1,0,No
30713,61289,Analytics,region_27,Bachelor's,M,other,1,27,4.0,2,0,82.0,0,0,19,0,1,0,No
30716,55915,Analytics,region_25,Bachelor's,M,sourcing,1,29,5.0,3,0,87.0,1,0,17,0,1,2,Yes
30717,42703,Technology,region_22,Bachelor's,M,sourcing,1,37,3.0,7,0,75.0,0,8,14,0,1,2,No
30721,40406,Procurement,region_2,Bachelor's,F,sourcing,1,35,5.0,5,0,71.0,0,5,11,0,0,2,No
30722,65066,Operations,region_2,Bachelor's,F,other,1,51,3.0,6,0,62.0,0,4,11,0,0,0,No
30724,58749,Sales & Marketing,region_22,Master's & above,F,other,1,39,4.0,2,0,48.0,0,7,14,2,0,0,No
30725,62258,Operations,region_15,Bachelor's,M,sourcing,1,39,4.0,3,0,54.0,0,4,6,0,1,2,No
30727,10869,Operations,region_20,Bachelor's,F,other,1,30,4.0,4,0,60.0,0,4,12,0,0,0,No
30728,3372,Procurement,region_7,Bachelor's,M,sourcing,1,49,3.0,3,0,68.0,0,5,31,0,1,2,No
30729,15680,Sales & Marketing,region_29,Bachelor's,M,sourcing,1,28,3.0,5,0,52.0,0,7,21,0,1,2,No
30730,67630,Analytics,region_2,Master's & above,M,sourcing,1,48,3.0,3,0,81.0,0,0,11,2,1,2,No
30731,29233,Sales & Marketing,region_13,Bachelor's,M,other,1,41,3.0,2,0,50.0,0,7,4,0,1,0,No
30734,71005,Sales & Marketing,region_4,Bachelor's,M,other,1,33,4.0,6,0,50.0,0,7,28,0,1,0,No
30735,48482,Procurement,region_2,Bachelor's,F,other,1,59,5.0,13,0,67.0,0,5,11,0,0,0,No
30736,69983,Procurement,region_15,Bachelor's,M,other,1,35,2.0,9,0,68.0,0,5,6,0,1,0,No
30738,23133,Operations,region_22,Bachelor's,F,other,1,39,4.0,2,0,57.0,0,4,14,0,0,0,No
30739,8876,Operations,region_2,Master's & above,M,sourcing,1,39,5.0,5,0,56.0,0,4,11,2,1,2,No
30741,3306,Sales & Marketing,region_17,Master's & above,M,sourcing,1,39,4.0,7,0,48.0,0,7,8,2,1,2,No
30743,76985,Technology,region_14,Master's & above,F,other,1,35,3.0,3,0,78.0,0,8,5,2,0,0,No
30744,76257,Sales & Marketing,region_7,Bachelor's,M,sourcing,1,28,3.0,3,0,51.0,1,7,31,0,1,2,Yes
30746,70518,Sales & Marketing,region_16,Bachelor's,M,sourcing,1,31,5.0,5,0,48.0,0,7,7,0,1,2,No
30747,18806,Sales & Marketing,region_26,Bachelor's,M,other,1,42,3.0,8,0,50.0,0,7,18,0,1,0,No
30749,1220,Sales & Marketing,region_7,Bachelor's,F,other,1,37,3.0,7,0,51.0,0,7,31,0,0,0,No
30751,13651,Analytics,region_29,Bachelor's,F,other,1,32,3.0,4,0,86.0,0,0,21,0,0,0,No
30753,56635,Analytics,region_10,Master's & above,M,other,1,35,5.0,6,0,85.0,0,0,1,2,1,0,No
30755,71355,Technology,region_2,Bachelor's,M,other,1,47,5.0,6,0,76.0,0,8,11,0,1,0,No
30759,59195,Sales & Marketing,region_2,Bachelor's,M,other,1,40,4.0,7,0,48.0,0,7,11,0,1,0,No
30762,63038,Operations,region_4,Bachelor's,F,sourcing,1,41,5.0,13,0,60.0,0,4,28,0,0,2,No
30768,53744,Technology,region_26,Bachelor's,F,other,1,32,2.0,3,0,79.0,0,8,18,0,0,0,No
30770,64048,Procurement,region_6,Bachelor's,M,sourcing,1,34,3.0,3,0,70.0,0,5,30,0,1,2,No
30774,24968,Sales & Marketing,region_4,Bachelor's,M,other,1,43,5.0,11,0,51.0,1,7,28,0,1,0,Yes
30777,29239,Procurement,region_22,Master's & above,M,other,1,32,3.0,5,0,70.0,0,5,14,2,1,0,No
30778,15943,Sales & Marketing,region_7,Bachelor's,M,other,1,40,3.0,1,0,47.0,0,7,31,0,1,0,No
30780,45274,Finance,region_6,Bachelor's,M,other,1,28,3.0,4,0,57.0,0,1,30,0,1,0,No
30781,77564,Sales & Marketing,region_7,Bachelor's,M,other,1,28,4.0,1,0,49.0,0,7,31,0,1,0,No
30784,47974,Technology,region_2,Bachelor's,F,sourcing,1,35,3.0,10,0,79.0,0,8,11,0,0,2,No
30786,6869,Procurement,region_7,Master's & above,M,other,1,42,4.0,5,0,69.0,0,5,31,2,1,0,No
30787,58989,Operations,region_22,Master's & above,F,other,1,36,3.0,3,0,56.0,0,4,14,2,0,0,No
30790,9951,Operations,region_27,Bachelor's,M,sourcing,1,43,5.0,7,0,60.0,0,4,19,0,1,2,No
30791,27891,Sales & Marketing,region_13,Bachelor's,M,other,1,44,2.0,12,0,44.0,0,7,4,0,1,0,No
30793,18714,Sales & Marketing,region_13,Master's & above,M,sourcing,1,59,4.0,14,0,48.0,1,7,4,2,1,2,Yes
30795,17004,Procurement,region_7,Bachelor's,M,sourcing,1,35,5.0,6,0,74.0,0,5,31,0,1,2,No
30797,37535,Operations,region_22,Bachelor's,M,sourcing,1,34,2.0,7,0,62.0,0,4,14,0,1,2,No
30798,75844,Technology,region_14,Bachelor's,F,sourcing,1,38,5.0,4,0,78.0,0,8,5,0,0,2,No
30799,53107,Sales & Marketing,region_25,Master's & above,M,sourcing,1,37,5.0,2,0,49.0,0,7,17,2,1,2,No
30802,6191,Operations,region_31,Bachelor's,M,other,1,29,3.0,7,0,60.0,0,4,24,0,1,0,No
30804,13100,Procurement,region_26,Bachelor's,F,other,1,35,3.0,3,0,66.0,0,5,18,0,0,0,No
30806,68500,Analytics,region_2,Bachelor's,M,other,1,28,5.0,2,0,86.0,1,0,11,0,1,0,Yes
30807,73365,Sales & Marketing,region_15,Master's & above,M,other,1,37,4.0,4,0,48.0,0,7,6,2,1,0,No
30809,1608,Operations,region_22,Master's & above,M,referred,1,42,5.0,6,0,57.0,0,4,14,2,1,1,No
30810,74833,Operations,region_26,Bachelor's,F,other,1,29,4.0,6,0,58.0,0,4,18,0,0,0,No
30812,47899,Sales & Marketing,region_9,Bachelor's,M,other,1,26,3.0,2,0,49.0,0,7,33,0,1,0,No
30815,56326,Sales & Marketing,region_4,Bachelor's,F,sourcing,1,31,5.0,4,0,53.0,0,7,28,0,0,2,No
30817,68263,Technology,region_16,Bachelor's,F,other,1,30,3.0,7,1,76.0,1,8,7,0,0,0,Yes
30819,50782,Operations,region_4,Bachelor's,F,other,1,33,5.0,7,0,55.0,1,4,28,0,0,0,Yes
30820,22368,Procurement,region_2,Bachelor's,M,sourcing,1,41,5.0,6,0,67.0,0,5,11,0,1,2,No
30822,8933,Operations,region_2,Master's & above,M,other,1,53,5.0,13,0,60.0,0,4,11,2,1,0,No
30823,56124,Technology,region_2,Below Secondary,M,sourcing,1,23,3.0,2,0,85.0,1,8,11,1,1,2,Yes
30824,14909,Procurement,region_15,Master's & above,F,other,1,33,3.0,3,0,75.0,0,5,6,2,0,0,No
30825,66120,Technology,region_26,Bachelor's,M,other,1,34,3.0,6,0,76.0,0,8,18,0,1,0,No
30827,20700,Operations,region_29,Bachelor's,F,sourcing,1,32,5.0,5,0,58.0,0,4,21,0,0,2,No
30829,63635,Operations,region_13,Bachelor's,F,other,1,30,3.0,2,0,59.0,0,4,4,0,0,0,No
30830,33957,Operations,region_20,Bachelor's,M,sourcing,1,29,4.0,3,0,62.0,0,4,12,0,1,2,No
30834,21755,Sales & Marketing,region_16,Master's & above,M,other,1,42,5.0,15,0,44.0,0,7,7,2,1,0,No
30836,61399,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,39,2.0,6,0,52.0,0,7,4,0,1,2,No
30839,58009,Technology,region_26,Bachelor's,F,other,1,36,5.0,3,0,93.0,1,8,18,0,0,0,Yes
30843,43245,Sales & Marketing,region_13,Bachelor's,M,sourcing,1,37,4.0,7,0,44.0,0,7,4,0,1,2,No
30844,21244,Sales & Marketing,region_28,Master's & above,M,sourcing,1,41,5.0,6,0,65.0,1,7,20,2,1,2,Yes
30845,67755,Operations,region_25,Bachelor's,F,sourcing,1,29,2.0,4,0,60.0,0,4,17,0,0,2,No
30846,18674,Operations,region_22,Bachelor's,F,other,1,34,2.0,9,0,57.0,1,4,14,0,0,0,Yes
30848,6563,HR,region_2,Bachelor's,M,sourcing,1,55,3.0,6,0,48.0,0,2,11,0,1,2,No
30851,17293,Technology,region_4,Bachelor's,F,other,1,26,2.0,2,0,79.0,0,8,28,0,0,0,No
30852,8319,Operations,region_16,Bachelor's,F,other,1,36,3.0,3,0,55.0,0,4,7,0,0,0,No
30854,32885,HR,region_14,Bachelor's,M,other,1,35,4.0,2,0,53.0,0,2,5,0,1,0,No
30859,39596,Sales & Marketing,region_19,Bachelor's,M,other,1,37,5.0,7,0,43.0,0,7,10,0,1,0,No
30860,66686,Technology,region_2,Bachelor's,M,sourcing,1,35,5.0,4,0,84.0,0,8,11,0,1,2,No
30863,50432,Operations,region_2,Master's & above,M,other,1,60,5.0,8,0,64.0,0,4,11,2,1,0,No
30864,48708,Sales & Marketing,region_4,Master's & above,F,other,1,35,2.0,2,0,52.0,0,7,28,2,0,0,No
30865,39701,Technology,region_2,Master's & above,F,other,1,54,4.0,15,0,81.0,0,8,11,2,0,0,No
30870,1657,Operations,region_7,Bachelor's,F,other,1,40,5.0,6,0,60.0,0,4,31,0,0,0,No
30871,30335,Procurement,region_2,Bachelor's,M,sourcing,1,26,2.0,2,0,73.0,0,5,11,0,1,2,No
30872,12828,Procurement,region_7,Bachelor's,F,sourcing,1,33,5.0,5,0,68.0,1,5,31,0,0,2,Yes
30873,29772,Sales & Marketing,region_22,Bachelor's,M,other,1,38,4.0,5,0,48.0,0,7,14,0,1,0,No
30874,33355,HR,region_2,Master's & above,F,other,1,49,5.0,3,0,52.0,0,2,11,2,0,0,No
30876,78045,Sales & Marketing,region_22,Master's & above,M,sourcing,1,36,4.0,3,0,56.0,0,7,14,2,1,2,No
30877,24450,Sales & Marketing,region_21,Bachelor's,M,sourcing,1,36,2.0,9,0,46.0,0,7,13,0,1,2,No
30879,11490,Operations,region_2,Bachelor's,F,other,1,34,5.0,7,0,63.0,0,4,11,0,0,0,No
30881,66842,Operations,region_19,Bachelor's,M,sourcing,1,37,4.0,5,0,56.0,0,4,10,0,1,2,No
30882,72151,Procurement,region_2,Bachelor's,F,other,1,49,3.0,2,0,69.0,0,5,11,0,0,0,No
30883,22087,Procurement,region_11,Bachelor's,F,sourcing,1,31,3.0,2,0,68.0,0,5,2,0,0,2,No
30884,14758,Sales & Marketing,region_7,Bachelor's,M,sourcing,1,30,5.0,3,0,50.0,0,7,31,0,1,2,No
30886,53357,Sales & Marketing,region_25,Bachelor's,M,other,1,29,3.0,1,0,49.0,1,7,17,0,1,0,Yes
30888,35777,Operations,region_32,Bachelor's,F,sourcing,1,39,5.0,4,0,64.0,0,4,25,0,0,2,No
30890,20082,Technology,region_17,Bachelor's,F,other,1,30,3.0,5,0,80.0,0,8,8,0,0,0,No
30891,4188,Operations,region_10,Master's & above,F,sourcing,1,31,2.0,3,0,59.0,0,4,1,2,0,2,No
30892,18492,Analytics,region_22,Bachelor's,F,sourcing,1,32,3.0,4,0,80.0,0,0,14,0,0,2,No
30893,71573,Technology,region_2,Master's & above,M,sourcing,1,48,4.0,14,0,76.0,0,8,11,2,1,2,No
30895,64091,Technology,region_13,Master's & above,F,sourcing,1,41,3.0,7,0,82.0,0,8,4,2,0,2,No
30897,63497,Procurement,region_8,Master's & above,F,other,1,44,3.0,4,0,73.0,0,5,32,2,0,0,No
30898,29870,Technology,region_7,Master's & above,F,other,1,43,3.0,7,0,79.0,0,8,31,2,0,0,No
30901,73551,Sales & Marketing,region_2,Bachelor's,F,other,1,29,3.0,6,0,49.0,0,7,11,0,0,0,No
30903,18413,Technology,region_24,Bachelor's,M,other,1,35,3.0,7,0,81.0,0,8,16,0,1,0,No
30907,68698,Operations,region_2,Bachelor's,F,other,1,40,3.0,2,0,62.0,0,4,11,0,0,0,No
30908,64073,Technology,region_16,Bachelor's,F,sourcing,1,32,3.0,3,0,82.0,0,8,7,0,0,2,No
30911,53581,HR,region_2,Bachelor's,F,sourcing,1,60,5.0,11,0,50.0,0,2,11,0,0,2,No
30912,66183,Operations,region_11,Master's & above,M,sourcing,1,40,5.0,4,0,56.0,0,4,2,2,1,2,No
30914,43766,Procurement,region_7,Bachelor's,M,other,1,35,3.0,7,0,68.0,0,5,31,0,1,0,No
30915,11196,Procurement,region_16,Bachelor's,F,other,1,31,5.0,8,0,71.0,1,5,7,0,0,0,Yes
30916,16626,Sales & Marketing,region_23,Bachelor's,M,other,1,34,2.0,4,0,43.0,0,7,15,0,1,0,No
30917,41199,Sales & Marketing,region_23,Master's & above,F,other,1,36,4.0,10,0,53.0,0,7,15,2,0,0,No
30918,17882,Sales & Marketing,region_7,Bachelor's,M,sourcing,1,55,3.0,7,0,49.0,1,7,31,0,1,2,Yes
30922,44645,Sales & Marketing,region_25,Master's & above,M,other,1,35,3.0,7,0,50.0,0,7,17,2,1,0,No
30923,2110,HR,region_11,Bachelor's,M,other,1,27,3.0,2,0,51.0,0,2,2,0,1,0,No
30924,38908,Operations,region_31,Master's & above,M,other,1,36,3.0,6,0,58.0,0,4,24,2,1,0,No
30926,4980,Operations,region_16,Bachelor's,F,other,1,34,3.0,9,0,58.0,0,4,7,0,0,0,No
